Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Maths,Term 2,Tamil,இரண்டு அசமபக்க முக்கோணம்,i) ii),False
Class 6,Maths,Term 2,Tamil,"செங்கோண முக்கோணம்,",vi),False
Class 6,Maths,Term 2,Tamil,இரண்டு,iii) iv),False
Class 6,Maths,Term 2,Tamil,இருசமபக்கச் செங்கோண முக்கோணம்,v),False
Class 6,Maths,Term 2,Tamil,"விரிக�ோண முக்கோணம்,",vii),False
Class 6,Maths,Term 2,Tamil,அசமபக்க முக்கோணம்,i),False
Class 6,Maths,Term 2,Tamil,செங்கோண முக்கோணம்,ii),False
Class 6,Maths,Term 2,Tamil,"விரிக�ோண முக்கோணம்,",viii),False
Class 6,Maths,Term 2,Tamil,விரிக�ோண முக்கோணம்,iii),False
Class 6,Maths,Term 2,Tamil,இருசமபக்க முக்கோணம்,iv),False
Class 6,Maths,Term 2,Tamil,சமபக்க முக்கோணம்,v),False
Class 6,Maths,Term 2,Tamil,க�ொள்குறி வகை வினாக்கள்,"a) AB , BC, CA",True
Class 6,Maths,Term 2,Tamil,அ ல,"b) ABC, BCA, CAB A, B, C",False
Class 6,Maths,Term 2,Tamil,பயிற்சி 4.3,"c) A, B, C",True
Class 6,Maths,Term 2,Tamil,சமபக்க முக்கோணம்,i),False
Class 6,Maths,Term 2,Tamil,அசமபக்க முக்கோணம்,ii),False
Class 6,Maths,Term 2,Tamil,இருசமபக்க முக்கோணம்,iii),False
Class 6,Maths,Term 2,Tamil,அசமபக்க முக்கோணம்,iv),False
Class 6,Maths,Term 2,Tamil,குறுங்கோண முக்கோணம்,i),False
Class 6,Maths,Term 2,Tamil,குறுங்கோண முக்கோணம்,iv),False
Class 6,Maths,Term 2,Tamil,இருசமபக்கக் குறுங்கோண முக்கோணம்,i),False
Class 6,Maths,Term 2,Tamil,அசமபக்கச் செங்கோண முக்கோணம்,ii),False
Class 6,Maths,Term 2,Tamil,இருசமபக்க விரிக�ோண முக்கோணம்,iii),False
Class 6,Maths,Term 2,Tamil,இருசமபக்கச் செங்கோண முக்கோணம்,iv),False
