Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 6,Maths,Term 3,Tamil,சமச்சீரற்ற,Asymmetrical
Class 6,Maths,Term 3,Tamil,சமச்சீர்,Symmetry
Class 6,Maths,Term 3,Tamil,சமச்சீர் அச்சு,Axis of symmetry
Class 6,Maths,Term 3,Tamil,சமச்சீர்க் க�ோடு,Line of symmetry
Class 6,Maths,Term 3,Tamil,சமபபகக முக்கோணம்,Equilateral triangle
Class 6,Maths,Term 3,Tamil,பின்னம்,Equivalent fraction
Class 6,Maths,Term 3,Tamil,சாயசதுரம்,Rhombus
Class 6,Maths,Term 3,Tamil,சாய்வாக,Slant
Class 6,Maths,Term 3,Tamil,சுழல் சமச்சீர்,Rotational symmetry
Class 6,Maths,Term 3,Tamil,சுழற்சி,Rotation
Class 6,Maths,Term 3,Tamil,சுற்றளவு,Perimeter
Class 6,Maths,Term 3,Tamil,செங்கோண முக்கோணம்,Right angled triangle
Class 6,Maths,Term 3,Tamil,செவ்வகம்,Rectangleதத
Class 6,Maths,Term 3,Tamil,கா பின்னம்,Improper fractionதத
Class 6,Maths,Term 3,Tamil,கு பின்னம்,Proper fractionதத
Class 6,Maths,Term 3,Tamil,ஙக விகிததம்,Golden ratio
Class 6,Maths,Term 3,Tamil,கீழி,Reciprocal
Class 6,Maths,Term 3,Tamil,திசை எண்,Directed number
Class 6,Maths,Term 3,Tamil,த�ொடரி,Successor
Class 6,Maths,Term 3,Tamil,த�ொடர் வரிசை,Sequence
Class 6,Maths,Term 3,Tamil,த�ொடர் வளர் அமைப்பு,Iterative pattern
Class 6,Maths,Term 3,Tamil,த�ொடர் வளர் செயல்முறை,Iterative process
Class 6,Maths,Term 3,Tamil,த�ோராயமாக,Approximate
Class 6,Maths,Term 3,Tamil,நீளம்,Length
Class 6,Maths,Term 3,Tamil,நீள் வடிவம்,Oval shapeபப
Class 6,Maths,Term 3,Tamil,ககம்,Side
Class 6,Maths,Term 3,Tamil,பரப்பளவு,Area
Class 6,Maths,Term 3,Tamil,பின்னப் பட்டைகள்,Fraction bars
Class 6,Maths,Term 3,Tamil,பின்னம்,Fraction
Class 6,Maths,Term 3,Tamil,மிகச்சிறிய,Smallest
Class 6,Maths,Term 3,Tamil,மிகப் பெரிய,Largest
Class 6,Maths,Term 3,Tamil,மிகை எண்,Positive number
Class 6,Maths,Term 3,Tamil,மிகை முழுககள்,Positive integers
Class 6,Maths,Term 3,Tamil,முக்கோணம்,Triangle
Class 6,Maths,Term 3,Tamil,முழு எண்,Whole number
Class 6,Maths,Term 3,Tamil,முழுககள்,Integers
Class 6,Maths,Term 3,Tamil,முன்னி,Predecessor
Class 6,Maths,Term 3,Tamil,மூடிய உருவம்,Closed figure
Class 6,Maths,Term 3,Tamil,மேற்பகுதி / ததளம்,Surface
Class 6,Maths,Term 3,Tamil,முறைப்படுத்துததல்,Sorting
Class 6,Maths,Term 3,Tamil,வழிமுறை / பபடிமுறை,Algorithm
Class 6,Maths,Term 3,Tamil,வெளிப்புறற எல்லை,Outer boundary
Class 6,Maths,Term 3,Tamil,பின்னம்,Unlike fraction
Class 6,Maths,Term 3,Tamil,சந்தியாவு ஸ்டீபன்,In-House - QC
Class 6,Maths,Term 3,Tamil,உதவிப் பேராசிரியர்,L.N. அரசு கலைக் கல்லூரி
Class 6,Maths,Term 3,Tamil,பட்டதாரி ஆசிரியர் (ஓய்வு),EMIS த�ொழில்நுட்பக் குழு
Class 6,Maths,Term 3,Tamil,. ப. சத்தியநாராயணா,6th_ Maths _Tamil_Term_III_Answers.indd   98
Class 6,Maths,Term 3,Tamil,குறிப்பு,6th_ Maths _Tamil_Term_III_Answers.indd   99
Class 6,Maths,Term 3,Tamil,குறிப்பு,6th_ Maths _Tamil_Term_III_Answers.indd   100
Class 7,Maths,Term 1,English,கூட்்டல் சமனி,Additive Identity
Class 7,Maths,Term 1,English,கூட்்டல் எதிர்மறை,Additive Inverse
Class 7,Maths,Term 1,English,அடுத்துள்்ள கோ>ோணங்்கள்,Adjacent angle
Class 7,Maths,Term 1,English,அடுத்துள்்ள பக்்கங்்கள்,Adjacent sides
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட வெளி,angle
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,Alternate interior angle
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட உட்கோணங்்கள்,Alternate
Class 7,Maths,Term 1,English,ஒன்றுவிட்்ட,Angle bisector
Class 7,Maths,Term 1,English,கோ>ோண இருசமவெட்டி,Associative property
Class 7,Maths,Term 1,English,சேர்ப்புப் பண்பு,Base
Class 7,Maths,Term 1,English,அடிப்பக்்கம்,Closure property
Class 7,Maths,Term 1,English,அடைவு பண்பு,Co-efficient
Class 7,Maths,Term 1,English,கெழு,Commutative property
Class 7,Maths,Term 1,English,பரிமாற்றுப் பண்பு,Compare
Class 7,Maths,Term 1,English,ஒப்பீடு,Constant
Class 7,Maths,Term 1,English,மாறிலி,Corresponding angles
Class 7,Maths,Term 1,English,ஒத்்த கோ>ோணங்்கள்,Diagonal
Class 7,Maths,Term 1,English,மூலைவிட்்டம்,Distributive property
Class 7,Maths,Term 1,English,பங்கீட்டுப் பண்பு,Equation
Class 7,Maths,Term 1,English,சமன்்பபாடு,Formation
Class 7,Maths,Term 1,English,உருவாக்குததல்,Generalize
Class 7,Maths,Term 1,English,பொ�ொதுமைப்படுத்து,Height
Class 7,Maths,Term 1,English,உயரம்,Horizontal
Class 7,Maths,Term 1,English,கிடைமட்்டம்,Integers
Class 7,Maths,Term 1,English,முழுக்்கள்,Interior of an angle
Class 7,Maths,Term 1,English,கோ>ோணத்தின் உட்பகுதி,Isosceles trapezium
Class 7,Maths,Term 1,English,இரு சமபக்்கசரிவகம்,Like terms
Class 7,Maths,Term 1,English,ஒத்்த உறுப்புகள்,Linear equations
Class 7,Maths,Term 1,English,நேரியச் சமன்்பபாடுகள்,Linear pair of angle
Class 7,Maths,Term 1,English,நேரிய கோ>ோண இணைகள்,Multiplicative Identity
Class 7,Maths,Term 1,English,பெருக்்கல் சமனி,Negative Integers
Class 7,Maths,Term 1,English,குறை முழுக்்கள்,Non-adjacent angle
Class 7,Maths,Term 1,English,கோ>ோணங்்கள்,Numerical value
Class 7,Maths,Term 1,English,எண் மதிப்பு,Numerical co-efficient
Class 7,Maths,Term 1,English,எண் கெழு,Parallel sides
Class 7,Maths,Term 1,English,இணை பக்்கங்்கள்,Parallelogram
Class 7,Maths,Term 1,English,இணைகரம்,Pattern
Class 7,Maths,Term 1,English,அமைப்பு,Perpendicular
Class 7,Maths,Term 1,English,செங்குத்து,Perpendicular bisector
Class 7,Maths,Term 1,English,செங்குத்துச் சமவெட்டி,Positive Integers
Class 7,Maths,Term 1,English,மிகை முழுக்்கள்,Properties
Class 7,Maths,Term 1,English,பண்புகள்,Puzzle
Class 7,Maths,Term 1,English,புதிர்,Recall
Class 7,Maths,Term 1,English,நினைவுகூர்்தல்,Regulation
Class 7,Maths,Term 1,English,ஒழுங்குமுறை,Rhombus
Class 7,Maths,Term 1,English,சாய்சதுரம்,Sequence
Class 7,Maths,Term 1,English,தொ�ொடடர்்வரிசை,Showcase
Class 7,Maths,Term 1,English,காட்சிப்்பபேழை,Substitution
Class 7,Maths,Term 1,English,பிரதியிடுததல்,Terms
Class 7,Maths,Term 1,English,உறுப்புகள்,Tetromino
Class 7,Maths,Term 1,English,இணைக்்கப்பட்்ட வடிவம்,Tokens
Class 7,Maths,Term 1,English,வில்்லலைகள்,Traffic
Class 7,Maths,Term 1,English,போ�ோக்குவரத்து,Transversal
Class 7,Maths,Term 1,English,குறுக்குவெட்டி,Trapezium
Class 7,Maths,Term 1,English,சரிவகம்,Undefined
Class 7,Maths,Term 1,English,து.,Unlike terms
Class 7,Maths,Term 1,English,மாறுபட்்ட உறுப்புகள்,Variable
Class 7,Maths,Term 1,English,மாறி,Vertex
Class 7,Maths,Term 1,English,முனை (அ) உச்சி,Vertically
Class 7,Maths,Term 1,English,செங்குத்்ததாக,Vertically opposite
Class 7,Maths,Term 1,English,குத்்ததெதிர் கோ>ோணங்்கள்,angles
Class 7,Maths,Term 2,English,பரபபளவு,Area
Class 7,Maths,Term 2,English,அடிமானம்,Base
Class 7,Maths,Term 2,English,வான் ப�ொருட்கள்,Celestial bodies
Class 7,Maths,Term 2,English,வட்டம்,Circle
Class 7,Maths,Term 2,English,வட்டவளையம்,Circular ring
Class 7,Maths,Term 2,English,பரிதி,Circumference
Class 7,Maths,Term 2,English,சரவசமம்,Congruence
Class 7,Maths,Term 2,English,சரவசம தன்மை,Congruency
Class 7,Maths,Term 2,English,சரவசம முக்கோணம்,Congruent triangle
Class 7,Maths,Term 2,English,அடுததடுதத உறுப்புககள்,Consecutive terms
Class 7,Maths,Term 2,English,ஒதத பக்கம்,Corresponding side
Class 7,Maths,Term 2,English,க�ொள்கை,Criterion
Class 7,Maths,Term 2,English,மாறியின் ககனம்,Cube of a variable
Class 7,Maths,Term 2,English,தசம எண்,Decimal number
Class 7,Maths,Term 2,English,தசமப் பகுதி,Decimal part
